processador,ram,ssd,preco,link
"Processador Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F",,"SSD Lexar NS100 512GB 2.5"" Sata III 6GB/s, LNS100-512RB","as R$3.347,00 10x de R$334,70 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-radeon-r5-220-2gb-8gb-ddr4-ssd-512gb-500w-combat
"Processador AMD Athlon 3000G Dual-Core 3.5GHz 5MB Cache AM4, YD3000C6FHBOX",,,"as R$1.971,00 10x de R$197,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-athlon-3000g-8gb-ddr4-hd-1tb-500w-pbs306
"Processador AMD A6-9500 Dual-Core 3.5GHz (3.8GHz Turbo) 1MB Cache AM4, AD9500AGABBOX",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.820,00 10x de R$182,00 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-apu-a6-9500-3-5ghz-8gb-ddr4-ssd-256gb-500w-pbs306
"Processador AMD Ryzen 5 3500X Hexa-Core 3.6GHz (4.1GHz Turbo) 35MB Cache AM4, 100-100000158MPK",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$3.033,00 10x de R$303,30 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3500x-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-f150-pbs308
"Processador AMD A6-7480 Dual-Core 3.8GHz 1MB Cache FM2+, AD7480ACABBOX",,,"as R$1.751,00 10x de R$175,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a6-7480-4gb-ddr3-hd-1tb-500w-pbs306
"Processador AMD Athlon 3000G Dual-Core 3.5GHz 5MB Cache AM4, YD3000C6FHBOX",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.818,06 10x de R$181,81 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-athlon-3000g-8gb-ddr4-ssd-256gb-500w-raider
"Processador Intel Core i5-9400 Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$2.776,00 10x de R$277,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400-8gb-ddr4-ssd-128gb-m-2-500w-pbs308
"Processador Intel Core i5-9400 Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$2.881,00 10x de R$288,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400-8gb-ddr4-ssd-256gb-500w-pbs308
"Processador AMD Ryzen 5 3600 Hexa-Core 3.6GHz (4.2GHz Turbo) 35MB Cache AM4, 100-100000031BOX",,,"as R$3.283,00 10x de R$328,30 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3600-geforce-gt-710-1gb-8gb-ddr4-hd-1tb-500w-tgt-combat
"Processador Intel Celeron G4930 Dual-Core 3.2GHz 2MB Cache LGA1151, BX80684G4930-OEM",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.783,99 10x de R$178,40 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g4930-8gb-ddr4-ssd-256gb-500w-cooler-f50-pbs308
,,,"as R$1.681,00 10x de R$168,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-celeron-j4005-dual-core-8gb-ddr4-hd-1tb-500w-pbs306
"Processador Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$2.416,00 10x de R$241,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-radeon-r5-220-2gb-8gb-ddr4-ssd-128gb-m-2-500w-raider
"Processador Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$3.456,00 10x de R$345,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-geforce-gt-1030-2gb-8gb-ddr4-ssd-128gb-m-2-500w-raider
"Processador Intel Core i5-10400F Hexa-Core 2.9Ghz (4.3Ghz Turbo) 12MB Cache LGA1200, BX8070110400F",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$3.261,00 10x de R$326,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-10400f-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-raider
"Processador Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F",,"SSD Pichau Gaming 512GB 2.5"" Sata 6GB/s, PG512X","as R$2.776,00 10x de R$277,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-radeon-r5-220-2gb-8gb-ddr4-ssd-512gb-500w-raider
"Processador AMD A6-7480 Dual-Core 3.8GHz 1MB Cache FM2+, AD7480ACABBOX",,,"as R$1.961,00 10x de R$196,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a6-7480-8gb-2x4-ddr3-hd-1tb-500w-pbs306
"Processador Intel Core i3-10100 Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100",,,"as R$2.721,00 10x de R$272,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100-8gb-ddr4-hd-1tb-500w-pbs308
"Processador Intel Core i3-10100 Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$2.606,00 10x de R$260,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100-8gb-ddr4-ssd-256gb-500w-pbs308
"Processador Intel Celeron G5905 Dual-Core 3.5GHz 4MB Cache LGA1200, BX80701G5905",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$1.771,00 10x de R$177,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g5905-3-5ghz-8gb-ddr4-ssd-128gb-m-2-500w-pbs306
