,processador,ssd,preco,link
0,"Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F","SSD Lexar NS100 512GB 2.5"" Sata III 6GB/s, LNS100-512RB",3347.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-radeon-r5-220-2gb-8gb-ddr4-ssd-512gb-500w-combat
3,"AMD Ryzen 5 3500X Hexa-Core 3.6GHz (4.1GHz Turbo) 35MB Cache AM4, 100-100000158MPK","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",3033.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3500x-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-f150-pbs308
7,"Intel Core i5-9400 Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",2881.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400-8gb-ddr4-ssd-256gb-500w-pbs308
13,"Intel Core i5-10400F Hexa-Core 2.9Ghz (4.3Ghz Turbo) 12MB Cache LGA1200, BX8070110400F","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",3261.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-10400f-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-raider
14,"Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F","SSD Pichau Gaming 512GB 2.5"" Sata 6GB/s, PG512X",2776.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-radeon-r5-220-2gb-8gb-ddr4-ssd-512gb-500w-raider
17,"Intel Core i3-10100 Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",2606.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100-8gb-ddr4-ssd-256gb-500w-pbs308
25,"Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",2521.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-raider
33,"AMD Ryzen 5 3600 Hexa-Core 3.6GHz (4.2GHz Turbo) 35MB Cache AM4, 100-100000031BOX","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",3173.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3600-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-raider
38,"Intel Core i5-10400F Hexa-Core 2.9Ghz (4.3Ghz Turbo) 12MB Cache LGA1200, BX8070110400F","SSD Pichau Gaming 512GB 2.5"" Sata 6GB/s, PG512X",3516.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-10400f-radeon-r5-220-2gb-8gb-ddr4-ssd-512gb-500w-raider
41,"Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",3072.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-combat
46,"Intel Core i3-7100 Dual-Core 3.9GHz 3MB Cache LGA1151, BX80677I37100-OEM","SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X",2144.0,https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-7100-8gb-ddr4-ssd-256gb-500w-raider
